 main 		 ~~~ palabra reservada ~~~ 1
 {		  ~~~ simbolo especial ~~~ 1
 int 		 ~~~ palabra reservada ~~~ 2
 x 		 ~~~ identificador ~~~ 2
 ,		  ~~~ simbolo especial ~~~ 2
 y 		 ~~~ identificador ~~~ 2
 ,		  ~~~ simbolo especial ~~~ 2
 z 		 ~~~ identificador ~~~ 2
 ;		  ~~~ simbolo especial ~~~ 2
 cin 		 ~~~ palabra reservada ~~~ 3
 a 		 ~~~ identificador ~~~ 3
 ;		  ~~~ simbolo especial ~~~ 3
 cout 		 ~~~ palabra reservada ~~~ 4
 12		 ~~~ entero ~~~ 4
 + 		 ~~~ operador aritmetico ~~~ 4
 3544		 ~~~ entero ~~~ 4
 ;		  ~~~ simbolo especial ~~~ 4
 float 		 ~~~ palabra reservada ~~~ 5
 a 		 ~~~ identificador ~~~ 5
 ,		  ~~~ simbolo especial ~~~ 5
 b 		 ~~~ identificador ~~~ 5
 ,		  ~~~ simbolo especial ~~~ 5
 c 		 ~~~ identificador ~~~ 5
 ;		  ~~~ simbolo especial ~~~ 5
 suma 		 ~~~ identificador ~~~ 6
 = 		 ~~~ operador aritmetico ~~~ 6
 45		 ~~~ entero ~~~ 6
 ;		  ~~~ simbolo especial ~~~ 6
 x 		 ~~~ identificador ~~~ 7
 = 		 ~~~ operador aritmetico ~~~ 7
 32.32		 ~~~ flotante ~~~ 7
 ;		  ~~~ simbolo especial ~~~ 7
 x 		 ~~~ identificador ~~~ 8
 = 		 ~~~ operador aritmetico ~~~ 8
 23		 ~~~ entero ~~~ 8
 ;		  ~~~ simbolo especial ~~~ 8
 y 		 ~~~ identificador ~~~ 9
 = 		 ~~~ operador aritmetico ~~~ 9
 2		 ~~~ entero ~~~ 9
 + 		 ~~~ operador aritmetico ~~~ 9
 3		 ~~~ entero ~~~ 9
 - 		 ~~~ operador aritmetico ~~~ 9
 1		 ~~~ entero ~~~ 9
 ;		  ~~~ simbolo especial ~~~ 9
 z 		 ~~~ identificador ~~~ 10
 = 		 ~~~ operador aritmetico ~~~ 10
 y 		 ~~~ identificador ~~~ 10
 + 		 ~~~ operador aritmetico ~~~ 10
 7		 ~~~ entero ~~~ 10
 ;		  ~~~ simbolo especial ~~~ 10
 y 		 ~~~ identificador ~~~ 11
 = 		 ~~~ operador aritmetico ~~~ 11
 y 		 ~~~ identificador ~~~ 11
 + 		 ~~~ operador aritmetico ~~~ 11
 1		 ~~~ entero ~~~ 11
 ;		  ~~~ simbolo especial ~~~ 11
 a 		 ~~~ identificador ~~~ 12
 = 		 ~~~ operador aritmetico ~~~ 12
 24.0		 ~~~ flotante ~~~ 12
 + 		 ~~~ operador aritmetico ~~~ 12
 4		 ~~~ entero ~~~ 12
 - 		 ~~~ operador aritmetico ~~~ 12
 1		 ~~~ entero ~~~ 12
 / 		 ~~~ operador aritmetico ~~~ 12
 3		 ~~~ entero ~~~ 12
 * 		 ~~~ operador aritmetico ~~~ 12
 2		 ~~~ entero ~~~ 12
 + 		 ~~~ operador aritmetico ~~~ 12
 34		 ~~~ entero ~~~ 12
 - 		 ~~~ operador aritmetico ~~~ 12
 1		 ~~~ entero ~~~ 12
 ;		  ~~~ simbolo especial ~~~ 12
 x 		 ~~~ identificador ~~~ 13
 = 		 ~~~ operador aritmetico ~~~ 13
 (		  ~~~ simbolo especial ~~~ 13
 5		 ~~~ entero ~~~ 13
 - 		 ~~~ operador aritmetico ~~~ 13
 3		 ~~~ entero ~~~ 13
 )		  ~~~ simbolo especial ~~~ 13
 * 		 ~~~ operador aritmetico ~~~ 13
 (		  ~~~ simbolo especial ~~~ 13
 8		 ~~~ entero ~~~ 13
 / 		 ~~~ operador aritmetico ~~~ 13
 2		 ~~~ entero ~~~ 13
 )		  ~~~ simbolo especial ~~~ 13
 ;		  ~~~ simbolo especial ~~~ 13
 y 		 ~~~ identificador ~~~ 14
 = 		 ~~~ operador aritmetico ~~~ 14
 5		 ~~~ entero ~~~ 14
 + 		 ~~~ operador aritmetico ~~~ 14
 3		 ~~~ entero ~~~ 14
 - 		 ~~~ operador aritmetico ~~~ 14
 2		 ~~~ entero ~~~ 14
 * 		 ~~~ operador aritmetico ~~~ 14
 4		 ~~~ entero ~~~ 14
 / 		 ~~~ operador aritmetico ~~~ 14
 7		 ~~~ entero ~~~ 14
 - 		 ~~~ operador aritmetico ~~~ 14
 9		 ~~~ entero ~~~ 14
 ;		  ~~~ simbolo especial ~~~ 14
 z 		 ~~~ identificador ~~~ 15
 = 		 ~~~ operador aritmetico ~~~ 15
 8		 ~~~ entero ~~~ 15
 / 		 ~~~ operador aritmetico ~~~ 15
 2		 ~~~ entero ~~~ 15
 + 		 ~~~ operador aritmetico ~~~ 15
 15		 ~~~ entero ~~~ 15
 * 		 ~~~ operador aritmetico ~~~ 15
 4		 ~~~ entero ~~~ 15
 ;		  ~~~ simbolo especial ~~~ 15
 y 		 ~~~ identificador ~~~ 16
 = 		 ~~~ operador aritmetico ~~~ 16
 14.54		 ~~~ flotante ~~~ 16
 ;		  ~~~ simbolo especial ~~~ 16
 if 		 ~~~ palabra reservada ~~~ 17
 (		  ~~~ simbolo especial ~~~ 17
 2		 ~~~ entero ~~~ 17
 >		 ~~~ operador relacional ~~~ 17
 3		 ~~~ entero ~~~ 17
 )		  ~~~ simbolo especial ~~~ 17
 {		  ~~~ simbolo especial ~~~ 17
 y 		 ~~~ identificador ~~~ 18
 = 		 ~~~ operador aritmetico ~~~ 18
 a 		 ~~~ identificador ~~~ 18
 + 		 ~~~ operador aritmetico ~~~ 18
